01/12/2021 20:43:07:  283911194 has not Enough Money to Make Call
01/12/2021 21:18:37:  222846927 is Calling 911
01/12/2021 21:18:37:  Billing System Checks 222846927 Balance
01/12/2021 21:18:37:  222846927 has Enough Money to Make Call
01/12/2021 21:18:37:  911 Does not Exist
01/12/2021 21:18:37:  413372649 is Calling 222846927
01/12/2021 21:18:37:  Billing System Checks 413372649 Balance
01/12/2021 21:18:37:  413372649 has Enough Money to Make Call
01/12/2021 21:18:37:  222846927 Answered Call from 413372649
01/12/2021 21:18:47:  222846927 Ended Call with 413372649
01/12/2021 21:18:47:  Base Station Notifies Billing System of Completed call from 413372649 to 222846927
01/12/2021 21:18:47:  413372649 is Calling 886294745
01/12/2021 21:18:47:  Billing System Checks 413372649 Balance
01/12/2021 21:18:47:  413372649 has not Enough Money to Make Call
01/12/2021 21:26:26:  1493685781 was Attached to Station
01/12/2021 21:26:26:  666221596 was Attached to Station
01/12/2021 21:26:26:  286740706 was Attached to Station
01/12/2021 21:26:26:  1493685781 is Calling 666221596
01/12/2021 21:26:26:  Billing System Checks 1493685781 Balance
01/12/2021 21:26:26:  1493685781 has Enough Money to Make Call
01/12/2021 21:26:26:  286740706 is Calling 666221596
01/12/2021 21:26:26:  Billing System Checks 286740706 Balance
01/12/2021 21:26:26:  286740706 has Enough Money to Make Call
01/12/2021 21:26:26:  666221596 is Busy
01/12/2021 21:26:30:  666221596 Did not Answer Call from 1493685781
01/12/2021 21:26:30:  Base Station Notifies Billing System of Failed Call from 1493685781 to 666221596
01/12/2021 21:26:37:  666221596 is Calling 911
01/12/2021 21:26:37:  Billing System Checks 666221596 Balance
01/12/2021 21:26:37:  666221596 has Enough Money to Make Call
01/12/2021 21:26:37:  911 Does not Exist
01/12/2021 21:26:37:  1493685781 is Calling 666221596
01/12/2021 21:26:37:  Billing System Checks 1493685781 Balance
01/12/2021 21:26:38:  1493685781 has Enough Money to Make Call
01/12/2021 21:26:38:  666221596 Answered Call from 1493685781
01/12/2021 21:26:48:  666221596 Ended Call with 1493685781
01/12/2021 21:26:48:  Base Station Notifies Billing System of Completed call from 1493685781 to 666221596
01/12/2021 21:26:48:  1493685781 is Calling 286740706
01/12/2021 21:26:48:  Billing System Checks 1493685781 Balance
01/12/2021 21:26:48:  1493685781 has Enough Money to Make Call
01/12/2021 21:26:48:  286740706 Answered Call from 1493685781
01/12/2021 21:26:53:  286740706 Ended Call with 1493685781
01/12/2021 21:26:53:  Base Station Notifies Billing System of Completed call from 1493685781 to 286740706
01/12/2021 21:47:12:  1775828340 was Attached to Station
01/12/2021 21:47:12:  1151592304 was Attached to Station
01/12/2021 21:47:12:  545117681 was Attached to Station
01/12/2021 21:47:12:  1775828340 is Calling 1151592304
01/12/2021 21:47:12:  Billing System Checks 1775828340 Balance
01/12/2021 21:47:12:  1775828340 has Enough Money to Make Call
01/12/2021 21:47:12:  545117681 is Calling 1151592304
01/12/2021 21:47:12:  Billing System Checks 545117681 Balance
01/12/2021 21:47:12:  545117681 has Enough Money to Make Call
01/12/2021 21:47:12:  1151592304 is Busy
01/12/2021 21:47:16:  1151592304 Did not Answer Call from 1775828340
01/12/2021 21:47:16:  Base Station Notifies Billing System of Failed Call from 1775828340 to 1151592304
01/12/2021 21:47:23:  1151592304 is Calling 911
01/12/2021 21:47:23:  Billing System Checks 1151592304 Balance
01/12/2021 21:47:23:  1151592304 has Enough Money to Make Call
01/12/2021 21:47:23:  911 Does not Exist
01/12/2021 21:47:23:  1775828340 is Calling 1151592304
01/12/2021 21:47:23:  Billing System Checks 1775828340 Balance
01/12/2021 21:47:23:  1775828340 has Enough Money to Make Call
01/12/2021 21:47:23:  1151592304 Answered Call from 1775828340
01/12/2021 21:47:33:  1151592304 Ended Call with 1775828340
01/12/2021 21:47:33:  Base Station Notifies Billing System of Completed call from 1775828340 to 1151592304
01/12/2021 21:47:33:  1775828340 is Calling 545117681
01/12/2021 21:47:33:  Billing System Checks 1775828340 Balance
01/12/2021 21:47:33:  1775828340 has Enough Money to Make Call
01/12/2021 21:47:33:  545117681 Answered Call from 1775828340
01/12/2021 21:47:38:  545117681 Ended Call with 1775828340
01/12/2021 21:47:38:  Base Station Notifies Billing System of Completed call from 1775828340 to 545117681
01/12/2021 21:47:38:  1775828340 is Calling 1151592304
01/12/2021 21:47:38:  Billing System Checks 1775828340 Balance
01/12/2021 21:47:38:  1775828340 has Enough Money to Make Call
01/12/2021 21:47:38:  1151592304 Answered Call from 1775828340
01/12/2021 21:47:39:  1151592304 Ended Call with 1775828340
01/12/2021 21:47:39:  Base Station Notifies Billing System of Completed call from 1775828340 to 1151592304
01/12/2021 21:47:39:  1775828340 is Calling 1151592304
01/12/2021 21:47:39:  Billing System Checks 1775828340 Balance
01/12/2021 21:47:39:  1775828340 has Enough Money to Make Call
01/12/2021 21:47:39:  1151592304 Answered Call from 1775828340
01/12/2021 21:47:41:  1151592304 Ended Call with 1775828340
01/12/2021 21:47:41:  Base Station Notifies Billing System of Completed call from 1775828340 to 1151592304
01/12/2021 21:47:41:  1775828340 is Calling 1151592304
01/12/2021 21:47:41:  Billing System Checks 1775828340 Balance
01/12/2021 21:47:41:  1775828340 has Enough Money to Make Call
01/12/2021 21:47:41:  1151592304 Answered Call from 1775828340
01/12/2021 21:47:44:  1151592304 Ended Call with 1775828340
01/12/2021 21:47:44:  Base Station Notifies Billing System of Completed call from 1775828340 to 1151592304
01/12/2021 21:47:44:  1775828340 is Calling 1151592304
01/12/2021 21:47:44:  Billing System Checks 1775828340 Balance
01/12/2021 21:47:44:  1775828340 has Enough Money to Make Call
01/12/2021 21:47:44:  1151592304 Answered Call from 1775828340
01/12/2021 21:47:48:  1151592304 Ended Call with 1775828340
01/12/2021 21:47:48:  Base Station Notifies Billing System of Completed call from 1775828340 to 1151592304
01/12/2021 21:47:48:  1775828340 is Calling 1151592304
01/12/2021 21:47:48:  Billing System Checks 1775828340 Balance
01/12/2021 21:47:48:  1775828340 has Enough Money to Make Call
01/12/2021 21:47:48:  1151592304 Answered Call from 1775828340
01/12/2021 21:47:53:  1151592304 Ended Call with 1775828340
01/12/2021 21:47:53:  Base Station Notifies Billing System of Completed call from 1775828340 to 1151592304
01/12/2021 21:47:53:  1775828340 is Calling 1151592304
01/12/2021 21:47:53:  Billing System Checks 1775828340 Balance
01/12/2021 21:47:53:  1775828340 has Enough Money to Make Call
01/12/2021 21:47:53:  1151592304 Answered Call from 1775828340
01/12/2021 21:48:00:  1151592304 Ended Call with 1775828340
01/12/2021 21:48:00:  Base Station Notifies Billing System of Completed call from 1775828340 to 1151592304
01/12/2021 21:48:00:  1775828340 is Calling 1151592304
01/12/2021 21:48:00:  Billing System Checks 1775828340 Balance
01/12/2021 21:48:00:  1775828340 has Enough Money to Make Call
01/12/2021 21:48:00:  1151592304 Answered Call from 1775828340
01/12/2021 21:48:07:  1151592304 Ended Call with 1775828340
01/12/2021 21:48:07:  Base Station Notifies Billing System of Completed call from 1775828340 to 1151592304
01/12/2021 21:48:07:  1775828340 is Calling 1151592304
01/12/2021 21:48:07:  Billing System Checks 1775828340 Balance
01/12/2021 21:48:07:  1775828340 has Enough Money to Make Call
01/12/2021 21:48:07:  1151592304 Answered Call from 1775828340
01/12/2021 21:48:15:  1151592304 Ended Call with 1775828340
01/12/2021 21:48:15:  Base Station Notifies Billing System of Completed call from 1775828340 to 1151592304
01/12/2021 21:48:15:  1775828340 is Calling 1151592304
01/12/2021 21:48:15:  Billing System Checks 1775828340 Balance
01/12/2021 21:48:15:  1775828340 has Enough Money to Make Call
01/12/2021 21:48:15:  1151592304 Answered Call from 1775828340
01/12/2021 21:48:24:  1151592304 Ended Call with 1775828340
01/12/2021 21:48:24:  Base Station Notifies Billing System of Completed call from 1775828340 to 1151592304
